Sample	Family ID	Gender	Relationship
HG01798	HG01798	female	null
HG01799	HG01799	female	null
HG01800	HG01800	female	null
HG01801	HG01801	female	null
HG01802	HG01802	female	null
HG01804	HG01804	female	null
HG01805	HG01805	female	null
HG01806	HG01806	female	null
HG01807	HG01807	female	null
HG01808	HG01808	female	null
HG01809	HG01809	female	null
HG01810	HG01810	male	null
HG01811	HG01811	male	null
HG01812	HG01812	female	null
HG01813	HG01813	female	null
HG01815	HG01815	female	null
HG01816	HG01816	male	null
HG01817	HG01817	female	null
HG01840	VN007	male	null
HG01841	VN008	female	null
HG01842	VN009	male	null
HG01843	VN010	female	null
HG01844	VN011	male	null
HG01845	VN012	female	null
HG01846	VN013	male	null
HG01847	VN014	female	null
HG01848	VN015	female	null
HG01849	VN016	male	null
HG01850	VN017	female	null
HG01851	VN018	female	null
HG01852	VN019	male	null
HG01853	VN020	female	null
HG01855	VN022	female	null
HG01857	VN024	female	null
HG01858	VN025	female	null
HG01859	VN026	female	null
HG01860	VN027	male	null
HG01861	VN028	male	null
HG01862	VN029	female	null
HG01863	VN030	female	null
HG01864	VN031	male	null
HG01865	VN032	male	null
HG01866	VN033	male	null
HG01867	VN034	male	null
HG01868	VN035	female	null
HG01869	VN036	female	null
HG01870	VN037	female	null
HG01871	VN038	female	null
HG01872	VN039	male	null
HG01873	VN040	male	null
HG01874	VN041	female	null
HG01878	VN045	female	null
HG01879	BB01	male	father
HG01880	BB01	female	mother
HG01881	BB01	female	child
HG01882	BB02	male	father
HG01883	BB02	female	mother
HG01884	BB03	female	child
HG01885	BB03	male	father
HG01886	BB04	female	mother
HG01887	BB04	male	child
HG01888	BB02	male	child
HG01889	BB05	female	mother
HG01890	BB05	male	father
HG01891	BB05	female	child
HG01892	PEL007	male	father
HG01893	PEL007	female	mother
HG01894	BB06	female	mother
HG01895	BB06	male	child
HG01896	BB07	female	mother
HG01897	BB07	male	child
HG01898	PEL007	female	child
HG01912	BB06	male	father
HG01914	BB09	male	father
HG01915	BB09	female	mother
HG01916	BB09	female	child
HG01917	PEL006	male	father
HG01918	PEL006	female	mother
HG01919	PEL006	female	child
HG01920	PEL009	male	father
HG01921	PEL009	female	mother
HG01922	PEL009	female	child
HG01923	PEL010	male	father
HG01924	PEL010	female	mother
HG01925	PEL010	female	child
HG01926	PEL011	male	father
HG01927	PEL011	female	mother
HG01928	PEL011	male	child
HG01932	PEL013	male	father
HG01933	PEL013	female	mother
HG01934	PEL013	male	child
HG01935	PEL014	male	father
HG01936	PEL014	female	mother
HG01937	PEL014	male	child
HG01938	PEL015	male	father
HG01939	PEL015	female	mother
HG01940	PEL015	female	child
HG01941	PEL016	male	father
HG01942	PEL016	female	mother
HG01943	PEL016	male	child
HG01944	PEL017	male	father
HG01945	PEL017	female	mother
HG01946	PEL017	male	child
HG01947	PEL018	male	father
HG01948	PEL018	female	mother
HG01949	PEL018	female	child
HG01950	PEL019	male	father
HG01951	PEL019	female	mother
HG01952	PEL019	male	child
HG01953	PEL020	male	father
HG01954	PEL020	female	mother
HG01955	PEL020	female	child
HG01956	BB03	female	mother
HG01958	BB10	female	mother
HG01959	BB10	female	child
HG01960	BB11	female	child
HG01961	PEL21	male	father
HG01965	PEL22	female	mother
HG01967	PEL023	male	father
HG01968	PEL023	female	mother
HG01969	PEL023	female	child
HG01970	PEL024	male	father
HG01971	PEL024	female	mother
HG01972	PEL024	female	child
HG01973	PEL25	female	mother
HG01974	PEL25	male	father
HG01975	PEL25	female	child
HG01976	PEL26	female	mother
HG01977	PEL26	male	father
HG01978	PEL26	female	child
HG01979	PEL27	male	father
HG01980	PEL27	female	mother
HG01981	PEL27	female	child
HG01982	PEL28	male	father
HG01983	PEL28	female	mother
HG01984	PEL28	male	child
HG01985	BB08	female	null
HG01986	BB10	male	father
HG01987	BB12	male	child
HG01988	BB11	male	father
HG01989	BB11	female	mother
